word,label
苹果,1
香蕉,1
橙子,1
西瓜,1
葡萄,1
草莓,1
哈密瓜,1
菠萝,1
火龙果,1
芒果,1
柠檬,1
樱桃,1
梨,1
山竹,1
椰子,1
桃子,1
李子,1
杏子,1
柿子,1
石榴,1
猕猴桃,1
荔枝,1
龙眼,1
榴莲,1
蓝莓,1
覆盆子,1
黑莓,1
木瓜,1
杨桃,1
番石榴,1
桑葚,1
无花果,1
枇杷,1
甘蔗,1
杨梅,1
百香果,1
莲雾,1
柚子,1
青枣,1
红枣,1
枣子,1
油桃,1
水蜜桃,1
黄桃,1
雪梨,1
鸭梨,1
香梨,1
酥梨,1
青苹果,1
红富士,1
奇异果,1
车厘子,1
提子,1
青提,1
红提,1
巨峰葡萄,1
玫瑰香葡萄,1
牛油果,1
橘子,1
桔子,1
蜜橘,1
砂糖橘,1
沃柑,1
丑橘,1
金桔,1
青金桔,1
脐橙,1
血橙,1
冰糖橙,1
贡橘,1
蜜柚,1
沙田柚,1
红心柚,1
西柚,1
葡萄柚,1
柑橘,1
橙柑,1
青柠,1
黄柠檬,1
柠檬果,1
小番茄,1
圣女果,1
千禧果,1
释迦果,1
人参果,1
仙人掌果,1
刺梨,1
沙棘,1
醋栗,1
树莓,1
蔓越莓,1
酸梅,1
话梅,1
乌梅,1
李果,1
黑布林,1
红布林,1
青梅,1
白桃,1
蟠桃,1
毛桃,1
水蜜李,1
脆桃,1
杏梅,1
桂圆,1
干桂圆,1
龙眼干,1
鲜桂圆,1
金枕榴莲,1
猫山王,1
红毛丹,1
山竹果,1
红心火龙果,1
白心火龙果,1
黄心火龙果,1
芒果干,1
青芒,1
台芒,1
贵妃芒,1
凯特芒,1
金煌芒,1
椰青,1
椰皇,1
椰肉,1
雪莲果,1
牛心果,1
荸荠,1
马蹄,1
菱角,1
桌子,0
椅子,0
电脑,0
手机,0
电视,0
冰箱,0
汽车,0
飞机,0
书本,0
衣服,0
杯子,0
灯泡,0
门,0
窗户,0
床,0
沙发,0
柜子,0
台灯,0
钢笔,0
铅笔,0
纸张,0
键盘,0
鼠标,0
耳机,0
手表,0
时钟,0
镜子,0
牙刷,0
毛巾,0
锅,0
碗,0
筷子,0
勺子,0
鞋子,0
裤子,0
帽子,0
书包,0
剪刀,0
雨伞,0
枕头,0
窗帘,0
电梯,0
自行车,0
摩托车,0
火车,0
轮船,0
相机,0
打印机,0
空调,0
洗衣机,0
微波炉,0
烤箱,0
水壶,0
垃圾桶,0
小狗,0
小猫,0
兔子,0
老虎,0
狮子,0
大象,0
猴子,0
熊猫,0
长颈鹿,0
斑马,0
袋鼠,0
狐狸,0
松鼠,0
老鼠,0
仓鼠,0
金鱼,0
鲤鱼,0
鲨鱼,0
海豚,0
鲸鱼,0
螃蟹,0
龙虾,0
章鱼,0
乌贼,0
海星,0
水母,0
麻雀,0
老鹰,0
鸽子,0
鹦鹉,0
孔雀,0
企鹅,0
鸵鸟,0
蝴蝶,0
蜜蜂,0
蚊子,0
蜻蜓,0
蚂蚁,0
蜘蛛,0
米饭,0
面条,0
馒头,0
包子,0
饺子,0
面包,0
蛋糕,0
饼干,0
汉堡,0
披萨,0
三明治,0
寿司,0
炒饭,0
炒面,0
拉面,0
馄饨,0
粽子,0
月饼,0
烧饼,0
油条,0
豆浆,0
牛奶,0
咖啡,0
茶叶,0
果汁,0
可乐,0
雪碧,0
酸奶,0
奶茶,0
鸡蛋,0
鸭蛋,0
牛肉,0
猪肉,0
鸡肉,0
鱼肉,0
羊肉,0
青菜,0
白菜,0
萝卜,0
土豆,0
番薯,0
红薯,0
山药,0
芋头,0
南瓜,0
冬瓜,0
黄瓜,0
茄子,0
辣椒,0
西红柿,0
玉米,0
豆腐,0
腐竹,0
香菇,0
蘑菇,0
木耳,0
银耳,0
玫瑰,0
月季,0
牡丹,0
菊花,0
荷花,0
莲花,0
桂花,0
茉莉,0
百合,0
郁金香,0
向日葵,0
康乃馨,0
樱花,0
梅花,0
兰花,0
松树,0
柏树,0
杨树,0
柳树,0
竹子,0
仙人掌,0
芦荟,0
绿萝,0
吊兰,0
文竹,0
太阳,0
月亮,0
星星,0
云朵,0
雨水,0
雪花,0
冰雹,0
闪电,0
彩虹,0
山,0
河,0
湖,0
海,0
森林,0
草原,0
沙漠,0
石头,0
泥土,0
沙子,0
