embedding_dim,num_filters,dropout,learning_rate,batch_size,val_accuracy,non_fruit_precision,non_fruit_recall,fruit_precision,fruit_recall
16,32,0.3,0.002,16,0.6686746987951807,0.7264150943396226,0.7333333333333333,0.5333333333333333,0.5245901639344263
16,128,0.5,0.001,16,0.6686746987951807,0.7307692307692307,0.7238095238095238,0.532258064516129,0.5409836065573771
64,32,0.5,0.001,32,0.6626506024096386,0.7227722772277227,0.6952380952380952,0.5076923076923077,0.5409836065573771
64,128,0.5,0.002,32,0.6626506024096386,0.7156862745098039,0.6952380952380952,0.5,0.5245901639344263
32,32,0.3,0.0005,32,0.6626506024096386,0.7333333333333333,0.7333333333333333,0.5409836065573771,0.5409836065573771
16,32,0.5,0.002,16,0.6626506024096386,0.7281553398058253,0.7142857142857143,0.5238095238095238,0.5409836065573771
32,128,0.5,0.002,16,0.6626506024096386,0.7238095238095238,0.7238095238095238,0.5245901639344263,0.5245901639344263
64,64,0.7,0.002,64,0.6626506024096386,0.7227722772277227,0.6952380952380952,0.5076923076923077,0.5409836065573771
64,128,0.5,0.0005,64,0.6626506024096386,0.7281553398058253,0.7142857142857143,0.5238095238095238,0.5409836065573771
16,32,0.7,0.002,16,0.6566265060240963,0.7227722772277227,0.6952380952380952,0.5076923076923077,0.5409836065573771
32,128,0.5,0.002,64,0.6566265060240963,0.7281553398058253,0.7142857142857143,0.5238095238095238,0.5409836065573771
64,128,0.7,0.001,32,0.6566265060240963,0.7156862745098039,0.6952380952380952,0.5,0.5245901639344263
64,128,0.7,0.0005,64,0.6566265060240963,0.7352941176470589,0.7142857142857143,0.53125,0.5573770491803278
64,64,0.7,0.0005,64,0.6566265060240963,0.73,0.6952380952380952,0.5151515151515151,0.5573770491803278
16,64,0.7,0.0005,16,0.6566265060240963,0.7272727272727273,0.6857142857142857,0.5074626865671642,0.5573770491803278
16,32,0.5,0.0005,16,0.6566265060240963,0.73,0.6952380952380952,0.5151515151515151,0.5573770491803278
64,32,0.3,0.002,64,0.6566265060240963,0.7227722772277227,0.6952380952380952,0.5076923076923077,0.5409836065573771
32,128,0.7,0.002,64,0.6506024096385542,0.7238095238095238,0.7238095238095238,0.5245901639344263,0.5245901639344263
32,64,0.7,0.0005,32,0.6506024096385542,0.73,0.6952380952380952,0.5151515151515151,0.5573770491803278
32,64,0.3,0.001,64,0.6445783132530121,0.7254901960784313,0.7047619047619048,0.515625,0.5409836065573771
